type,query,group
naver_NN_comment,아이린,0
naver_NN_comment,조현아,0
naver_NN_comment,박나래,3
naver_NN_comment,설현,0
naver_NN_comment,양팡,2
naver_NN_comment,강민경,2
naver_NN_comment,유희열,1
naver_NN_comment,홍진영,1
naver_NN_comment,설민석,1
naver_NN_content,아이린,2
naver_NN_content,조현아,0
naver_NN_content,박나래,4
naver_NN_content,설현,2
naver_NN_content,양팡,1
naver_NN_content,강민경,1
naver_NN_content,유희열,5
naver_NN_content,홍진영,3
naver_NN_content,설민석,3
youtube_NN_transcript,아이린,3
youtube_NN_transcript,조현아,2
youtube_NN_transcript,박나래,4
youtube_NN_transcript,설현,0
youtube_NN_transcript,양팡,1
youtube_NN_transcript,강민경,1
youtube_NN_transcript,유희열,4
youtube_NN_transcript,홍진영,4
youtube_NN_transcript,설민석,5
youtube_NN_comment,아이린,2
youtube_NN_comment,조현아,2
youtube_NN_comment,박나래,2
youtube_NN_comment,설현,0
youtube_NN_comment,양팡,1
youtube_NN_comment,강민경,2
youtube_NN_comment,유희열,2
youtube_NN_comment,홍진영,0
youtube_NN_comment,설민석,0
